Relatório de Anúncios de Produto - Shopee Brasil,,,,,,,,,,,,,,,,,,,,,,,
Nome de Usuário,,,,,,,,,,,,,,,,,,,,,,,
Nome da loja,,,,,,,,,,,,,,,,,,,,,,,
ID da Loja,,,,,,,,,,,,,,,,,,,,,,,
Nome do Produto / Anúncio,Kit 3 Sutiã Amamentação Renda Sem Bojo Reforçado Gestante Pós Parto,,,,,,,,,,,,,,,,,,,,,,
ID do Produto,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data de Criação do Relatório,,,,,,,,,,,,,,,,,,,,,,,
Período,04/05/2024 - 10/05/2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Busca,,,,,,,,,,,,,,,,,,,,,,,
#,Palavras-chave,Tipo de combinação,Consulta de pesquisa,Método de Lance,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,Posicionamento Médio,ROAS,ROAS Direto,ACOS,ACOS Direto
1,Selecionado manualmente,-,-,Lance Manual,38230,2170,5.68%,229,210,10.55%,9.68%,1.83,2.00,237,218,9262.30,8698.20,419.12,12,22.10,20.75,4.53%,4.82%
2,sutiã amamentação,Correspondência Exata,sutiã amamentação,Lance Manual,10163,966,9.51%,114,108,11.80%,11.18%,1.87,1.97,116,110,4573.40,4389.00,213.25,3,21.45,20.58,4.66%,4.86%
3,sutiã de amamentação,Correspondência Exata,sutiã de amamentação,Lance Manual,3588,351,9.78%,24,21,6.84%,5.98%,3.22,3.68,27,24,1047.30,957.60,77.37,3,13.54,12.38,7.39%,8.08%
4,sutia amamentação,Correspondência Exata,sutia amamentação,Lance Manual,771,63,8.17%,11,11,17.46%,17.46%,01.03,01.03,11,11,438.90,438.90,11.38,3,38.55,38.55,2.59%,2.59%
5,kit sutiã amamentação,Correspondência Exata,kit sutiã amamentação,Lance Manual,551,28,5.08%,5,4,17.86%,14.29%,1.28,1.59,5,4,189.50,159.60,6.38,4,29.72,25.03,3.37%,4.00%
6,sutian de amamentação,Correspondência Exata,sutian de amamentação,Lance Manual,487,28,5.75%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,04.02,5,0.00,0.00,0.00%,0.00%
7,sutiã amamentação,Correspondência Exata,sutiã  amamentação,Lance Manual,21,1,4.76%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.25,3,0.00,0.00,0.00%,0.00%
8,sutiã de amamentação,Correspondência Exata,sutiã de  amamentação,Lance Manual,4,1,25.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.24,2,0.00,0.00,0.00%,0.00%
9,sutiã de amamentação,Correspondência Exata,sutiã  de amamentação,Lance Manual,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,2,0.00,0.00,0.00%,0.00%
10,sutiã amamentação,Correspondência Exata,𝚜𝚞𝚝𝚒ã 𝚊𝚖𝚊𝚖𝚎𝚗𝚝𝚊çã𝚘,Lance Manual,1,1,100.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.20,11,0.00,0.00,0.00%,0.00%
